Component Name,Description,Qty,Purchase Link
ESP32 Dev Board,ESP-WROOM-32 Development Board (30 or 38 pin),1,https://www.amazon.in/OceanLabz-ESP32-WROOM-32-Bluetooth-Pre-Loaded/dp/B0D2BB68S9?crid=3UIDOVH70GE70&dib=eyJ2IjoiMSJ9.pHlThr6qfW1WTyNz3Fb6cfxXcK7rcbQpulr-t-pntdqyoyulG59z557sQy5FdVk4WQ9fx06dBG_myIeo_WXRsApO7cHpBYPAjH_hVzenCezTQTycfZOFVZwFhxJ-6ZDuXh8A05Fj3aFknZAaxRJBPLO-DOmLZzUeiUlC23Q32umzlCES2KWHMWFTj1LUSHSU1IuOKhittr-8CY2Nkdn9HEVHhDEBYPliIz8duHrJc7Y.XnijWF8nwcWllw_IA3J_2T2OZEMQvJ72gx50Vkjls3Y&dib_tag=se&keywords=ESP32&qid=1767090797&sprefix=esp%2Caps%2C345&sr=8-4
WS2812B LED Strip,"Addressable RGB LED Strip, 60 LEDs/m, IP30 (Non-Waterproof)",5m,https://www.amazon.in/LightingKart-Strip-Individual-Addressable-Non-Waterproof/dp/B0BY6XD6XX?crid=31519JVIUT8S0&dib=eyJ2IjoiMSJ9.zhI6uMlblff7DV2gTtmocEXqdtD4cKlWlXW1YZKgElIxSuBCLaVK79_IyoF2QM_JJQ2pbhHghadmO_X4RbxOT8hLU9WBwTJUxc1kcmFeJ9XsCbxCMluZCeoJ4vx9nxwWINqVap39c1xnSiptz5ijZbGmSgon-V0mbpJn38em9wNYWSKuY5-2UptMmL5N4JRnAIdrPZOJ3jfY1Gu6ZwCvMlRRG9H_2f5M-4PZioW9_I1jyqdOspqoUSYvHwLlWI636-PHx7dFqH0vNkqpu2mZrJb8p-zbdPbNYCmNYAazml0.yUuM-fwhF82gFHrBrUZJD_t3t1wV47xB2LIk5aR8K3g&dib_tag=se&keywords=ws2812b%2B5m&qid=1767091045&sprefix=ws2812b%2B5m%2Caps%2C376&sr=8-11&th=1
Power Supply,5V 12A (or higher) DC Power Adapter,1,https://www.amazon.in/MEANWELL-Switching-Power-Supplies-LRS-100-5/dp/B018TEAPRQ?crid=2CS95373FLRDA&dib=eyJ2IjoiMSJ9.waZn8et04cE9E_oCntn56CE3tgOxMlq1xpUwHpHtDMxBVaTfigHstIF-8y-sf2G4kSWb0HouOjskfcnUjntTMG-G4T7yloRPovKlUutlhSzYZ-ohUe1v85PCfdqDEA9bgSYrBnV05n0iflUZc8pLwpED-zyUP46mghnkrMH_O8Ppsh3_kn3l71Q35VbAt8Au4SJjNEucQhcRf78CThT3qliw8Wf2eoS82YImnPvFE4s.4hQsLpzbBvVP5ERnXzK6w-btZgJTpyJ1-NRXn_A5ugg&dib_tag=se&keywords=5v+12A&qid=1767091118&sprefix=5v+12%2Caps%2C359&sr=8-7
DC Power Jack,Female 5.5mm x 2.1mm Panel Mount Jack,1,https://www.amazon.in/FEDUS-Adapter-Connector-Terminal-Rearview/dp/B09BF85ZQH?crid=1Y6Q4S2VXFJOA&dib=eyJ2IjoiMSJ9.JkmGQgM9kT3Jbst05ParTyU6LiDYOX9wRzKQ6GlXOrKnqPPgVTbukxGLgSsb0poOV0bXhixwBqqPJzB3jlQB54LFU1SRCyIiP0OOtk-jxa6Kt2EbIJnmS6KKgxl_bo-KH3Yx5nGNnwk5QVPorJs-Oz7MfJ2d0W-n67c5AfmjaqaFgG-ux1qafpfGL2wRBf99F4XpWB1TOy5wHsPkTeOt-4CiZzHR-qYNcRKwVdl3h1ohnVyQrRlqHB60jg5CoSMJyB0CmAcbYFM07WXPH3o283H5JfRzQkQrvRbANeC5HEQ.-88cq1wTBtmgEAFLWLnAzGGbRdz2eKbYRYQQzlaOMPY&dib_tag=se&keywords=Dc+power+jack+female&qid=1767091158&sprefix=dc+power+jack+femal%2Caps%2C345&sr=8-9
Filament,PLA or PETG 1.75mm Filament (Black/White),1kg (not sure how much required),https://www.amazon.in/Filament-Lavender-Dimensional-Accuracy-Carboard/dp/B0FCFK6LDQ?crid=26UPV1Q52YBBL&dib=eyJ2IjoiMSJ9.zbXF1XJGQiXifQvuU7MtCPJ7Xt0E6jrz0Jl4DiVjbw_p_RE084LKYKRTdBvutoDKi0EZv1Plv9UlEencsUSLg5ZmMeuo4UkJyfkryQBqVrW7BzjxqeyafudqnAdPWi58NtY5u98mF8_PbuFyyYYiwF6PKGP_UPc9aolEohTNZHbYDne2Y_qJLfPUGEdNahHjTS1r48R4Hj_eeAY8IuqKS4MBnHF4Wv6W196amtYCnfwSaZeNrNLlCwJSpeRD9MNk0CZL3VbHc_LFHXjiDZDNox_f_y7lgRK1X2GKWoJduo0.knANVrnPkpYaSdg3pi778lrvECW9A1mjBJsEvCMSm-A&dib_tag=se&keywords=filament&qid=1767091191&sprefix=filame%2Caps%2C395&sr=8-17&th=1
Diffuser Material,White Acrylic Sheet or Copy Paper,1,https://www.amazon.in/Acrylic-Plexiglass-12inch-18inch-Projects/dp/B074ZJBLGL?crid=2QBKFY8EGN4DC&dib=eyJ2IjoiMSJ9.77CXhhZWP80G2F0pyLJKIx3IE1jyZ8PMW46V794rg3Yc-XdSIKNTd_LiAbs702c9Ca7fi-BA9yYNakP5hwsYiBdxCimElJVFFsNZzwXnmCVsI-mP476JOQ0ZPyQKx2xbcw08Lmcj1UDhJ_yapLnL4kIB3CoQS_sZow0FUAXqTTbusI-IFk5h0rjTLhekRN_Zp3EHXtCleNdHWlhT7GsJRoykIiIOBe9v8u6rrnV7okbvmASh_xUN5fBiA3B3DpuMkapyeWSo5_xPo5GUI9eMoarCLa3lmL6x2Rs2RJwOTNU.9D_KSBcitnN0BW3A1fCB_76ojhEFu6oDip8vaP6Yx2U&dib_tag=se&keywords=white+acrylic+sheet&qid=1767091221&sprefix=white+acry%2Caps%2C350&sr=8-10
"Gluegun, stick",To Stick everything,3-4,i already have these
Wires,22 AWG Stranded Wire (Red/Black/Green),1,https://www.amazon.in/Electronic-Spices-Single-Core-Breadboard-Jumper/dp/B0B4WPX449?crid=36KSKKXH7RXMK&dib=eyJ2IjoiMSJ9.0GWUetECOWDtByBNXPfDO9QaPRHhU8jqtOWJhEedj_2ry3554IeQAz0HVaMZKIk9omAuA_rzZsWzGgulJ2L4Ka9Dqa1VIrE4L-MCi7Y44Dyk_kxcOYGA6JsTCDoJ0HVi38AEKQPZgRmMOHJgV4gP8XuvAT7ehzBCmWDgIr_NT9O93CA7OcssvgZGwH7hYueoiM9BhZXWJ0nX67mODCeC0TVqYsuqlKKLNPS1yIfFSEnz1kFndQJ90G015BzS8rmbD8R-lOYv7YMDKqbV3o3VyMu7V0Q0I2eHUAbEVgcsXW8.TJ3f5GaoGQXttlK8q8IASOj0OcZGyhoDjA47KChgYqE&dib_tag=se&keywords=22+awg&qid=1767093936&sprefix=22awg%2Caps%2C415&sr=8-3
,,,
"The items are cheaper on other store but i am not sure if its allowed, so adding amazon",,,
